"contents href","_image_yazkc_11 src","_image_yazkc_11 src 2","whitespace-normal","font-medium 2","h-4","pointer-events-none src","truncate","inline-block","truncate 2"
"https://shopee.co.id/EIGER-J.PERSEVERANCE-1.0-JACKET-i.19260065.12773842199?extraParams=%7B%22display_model_id%22%3A123982164120%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-81zte-mensyz3aqtxffe","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER J.PERSEVERANCE 1.0 JACKET","454.000","-32%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","6RB+ terjual"
"https://shopee.co.id/EIGER-JR-MOORLAND-ACTIVE-LS-TEES-i.19260065.25274745055?extraParams=%7B%22display_model_id%22%3A301954105490%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wk-mnv2rp2o38y00a","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER JR MOORLAND ACTIVE LS TEES","154.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","5.0","114 terjual"
"https://shopee.co.id/EIGER-TOPOGRAPHIC-MAPS-T-SHIRT-i.19260065.7377179154?extraParams=%7B%22display_model_id%22%3A63466876736%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-81ztm-menqqlbknb4247","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER TOPOGRAPHIC MAPS T-SHIRT","164.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","5RB+ terjual"
"https://shopee.co.id/EIGER-KALAMANTARA-BLK-BORNEO-F1-SHIRT-i.19260065.18778457514?extraParams=%7B%22display_model_id%22%3A127553151714%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk0-mary5d5o9cf217","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER KALAMANTARA BLK BORNEO F1 SHIRT","354.240","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","3RB+ terjual"
"https://shopee.co.id/EIGER-HEMLOCK-SS-T-SHIRT-RX-1.0-i.19260065.41752395875?extraParams=%7B%22display_model_id%22%3A237843064251%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk3-maarsns2em6c7d","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER HEMLOCK SS T-SHIRT RX 1.0","169.300","-32%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","460 terjual"
"https://shopee.co.id/EIGER-X-TRAVERIAN-HOODIE-JACKET-i.19260065.13358710175?extraParams=%7B%22display_model_id%22%3A77973326804%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/5fc6426b964406a21a2996a0fc0bfe9d","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER X-TRAVERIAN HOODIE JACKET","424.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","5RB+ terjual"
"https://shopee.co.id/EIGER-LUDIC-SS-T-SHIRT-RX-i.19260065.44455000178?extraParams=%7B%22display_model_id%22%3A260423388864%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0t-mb4zophg24v864","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER LUDIC SS T-SHIRT RX","234.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","549 terjual"
"https://shopee.co.id/EIGER-RASTER-LOGO-T-SHIRT-i.19260065.8815640256?extraParams=%7B%22display_model_id%22%3A43707820432%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mdmnrobhjp7cca","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER RASTER LOGO T-SHIRT","154.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","3RB+ terjual"
"https://shopee.co.id/EIGER-X-CALM-TEES-i.19260065.22587036079?extraParams=%7B%22display_model_id%22%3A222304200400%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98u-logk5yz0qzr482","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER X CALM TEES","164.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","Pilih Lokal","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-ANATOMIC-CAMOU-XT-BOXER-i.19260065.41463938989?extraParams=%7B%22display_model_id%22%3A296151211274%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0o-mdlpd8a11rbgff","https://down-id.img.susercontent.com/file/id-11134258-82250-mkvvn2x0joqodc","EIGER ANATOMIC CAMOU XT BOXER","119.200","-20%","","Pilih Lokal","4.9","258 terjual"
