"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","h-4","pointer-events-none src","inline-block","truncate 2"
"https://shopee.co.id/EIGER-KINKAJOU-PINCH-2.0-SANDALS-i.19260065.5975866348?extraParams=%7B%22display_model_id%22%3A53321863152%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/15829e79e8e5e82b4f3ab0628c55081f","EIGER KINKAJOU PINCH 2.0 SANDALS","234.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","10RB+ terjual"
"https://shopee.co.id/EIGER-TOMAHAWK-PINCH-STRAP-PATTERN-2-SANDALS-i.19260065.9455720968?extraParams=%7B%22display_model_id%22%3A92071459488%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/e29b6f4b0c5a60d83430a63615b28964","EIGER TOMAHAWK PINCH STRAP PATTERN 2 SANDALS","192.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","10RB+ terjual"
"https://shopee.co.id/EIGER-LEOPARD-SHOES-i.19260065.25834083893?extraParams=%7B%22display_model_id%22%3A98969005500%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98r-lya9km9792vv42","EIGER LEOPARD SHOES","799.000","-6%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","1RB+ terjual"
"https://shopee.co.id/EIGER-LANZAROTE-SANDALS-i.19260065.9110771158?extraParams=%7B%22display_model_id%22%3A24117870715%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/884c32094688937e12dd109bf058377d","EIGER LANZAROTE SANDALS","174.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.8","10RB+ terjual"
"https://shopee.co.id/EIGER-NORTE-SLIDER-2.0-SANDALS-i.19260065.27774228282?extraParams=%7B%22display_model_id%22%3A208168792384%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rasc-m5b5qvy1mqoo7b","EIGER NORTE SLIDER 2.0 SANDALS","214.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","10RB+ terjual"
"https://shopee.co.id/EIGER-TIGERCLAW-2.5-SHOES-i.19260065.25784083590?extraParams=%7B%22display_model_id%22%3A129016736580%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r990-lya9km974v6ma4","EIGER TIGERCLAW 2.5 SHOES","789.000","-6%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","3RB+ terjual"
"https://shopee.co.id/EIGER-HILLWANDER-TOE-SANDALS-i.19260065.29125667684?extraParams=%7B%22display_model_id%22%3A178702364778%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rasa-m61zu2okrc5c94","EIGER HILLWANDER TOE SANDALS","564.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-KINKAJOU-3.5-SANDALS-i.19260065.23635239687?extraParams=%7B%22display_model_id%22%3A98667100432%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7qul7-lewcwl2qmk3h75","EIGER KINKAJOU 3.5 SANDALS","224.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","7RB+ terjual"
"https://shopee.co.id/EIGER-KINKAJOU-PINCH-4.0-SANDALS-i.19260065.18296552416?extraParams=%7B%22display_model_id%22%3A245820513201%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r992-lv9ujc68kjtf13","EIGER KINKAJOU PINCH 4.0 SANDALS","234.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","7RB+ terjual"
"https://shopee.co.id/EIGER-TROCADERO-AZTECA-2.0-SANDALS-i.19260065.8573644414?extraParams=%7B%22display_model_id%22%3A36228328068%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98r-lodnunp2p00q7b","EIGER TROCADERO AZTECA 2.0 SANDALS","214.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.8","10RB+ terjual"
