"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","h-4","pointer-events-none src","inline-block","truncate 2"
"https://shopee.co.id/EIGER-JR-ARCH-18-JUNIOR-SERIES-BACKPACK-i.19260065.17096249469?extraParams=%7B%22display_model_id%22%3A365139669336%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224t-mh5ptgwnru3096","EIGER JR ARCH 18 JUNIOR SERIES BACKPACK","202.200","-22%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","5RB+ terjual"
"https://shopee.co.id/EIGER-JUNIOR-ELM-SS-TEES-i.19260065.27684114987?extraParams=%7B%22display_model_id%22%3A385809164760%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wh-mn9hwasyz8jpab","EIGER JUNIOR ELM SS TEES","154.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","90 terjual"
"https://shopee.co.id/EIGER-JR-MOORLAND-BASEBALL-CAP-i.19260065.25170782362?extraParams=%7B%22display_model_id%22%3A232630334469%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224r-mh5ri2t7d8nc66","EIGER JR MOORLAND BASEBALL CAP","111.200","-20%","","4.9","204 terjual"
"https://shopee.co.id/EIGER-JR-MOORLAND-ACTIVE-LS-TEES-i.19260065.25274745055?extraParams=%7B%22display_model_id%22%3A301954105490%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wk-mnv2rp2o38y00a","EIGER JR MOORLAND ACTIVE LS TEES","154.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","110 terjual"
"https://shopee.co.id/EIGER-JUNIOR-RUEN-BACKPACK-18L-i.19260065.42860997832?extraParams=%7B%22display_model_id%22%3A260924074229%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mcua7u1t6d6k6e","EIGER JUNIOR RUEN BACKPACK 18L","414.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","318 terjual"
"https://shopee.co.id/EIGER-JUNIOR-HELBERG-BACKPACK-18L-i.19260065.42110995730?extraParams=%7B%22display_model_id%22%3A265923472134%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mcu7ewwyeyt1c9","EIGER JUNIOR HELBERG BACKPACK 18L","384.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","582 terjual"
"https://shopee.co.id/EIGER-JUNIOR-VIRERE-DAYPACK-10L-i.19260065.43258541617?extraParams=%7B%22display_model_id%22%3A208598771688%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0r-mc7cwjrevygp75","EIGER JUNIOR VIRERE DAYPACK 10L","314.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","42 terjual"
"https://shopee.co.id/EIGER-JUNIOR-TALON-SHOES-i.19260065.26987181667?extraParams=%7B%22display_model_id%22%3A234269479072%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk8-maji8dyygxnv7e","EIGER JUNIOR TALON SHOES","534.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","261 terjual"
"https://shopee.co.id/EIGER-JUNIOR-MOORLAND-INSULATION-JACKET-i.19260065.25191366589?extraParams=%7B%22display_model_id%22%3A223796149799%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m669yuegkjwzc2","EIGER JUNIOR MOORLAND INSULATION JACKET","574.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","91 terjual"
"https://shopee.co.id/EIGER-JUNIOR-ROCKMASTER-18L-BACKPACK-i.19260065.29780991539?extraParams=%7B%22display_model_id%22%3A99142874575%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk0-m7u8d5czt6xc2a","EIGER JUNIOR ROCKMASTER 18L BACKPACK","524.000","-5%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","53 terjual"
"https://shopee.co.id/EIGER-JUNIOR-LUCHI-SHOULDER-BAG-2L-i.19260065.41101106635?extraParams=%7B%22display_model_id%22%3A305087932843%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0s-mbf0q7gcefq6af","EIGER JUNIOR LUCHI SHOULDER BAG 2L","146.200","-23%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","127 terjual"
"https://shopee.co.id/EIGER-JR-MOORLAND-ACTIVE-CAP-KIDS-i.19260065.24478197200?extraParams=%7B%22display_model_id%22%3A226294497719%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224r-mgoigljc464se1","EIGER JR MOORLAND ACTIVE CAP KIDS","139.000","","","4.9","679 terjual"
"https://shopee.co.id/EIGER-JR-MOORLAND-ACTIVE-SS-TEES-i.19260065.29905722684?extraParams=%7B%22display_model_id%22%3A296952283576%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wk-mnv2b72dd53ad7","EIGER JR MOORLAND ACTIVE SS TEES","139.000","","","5.0","40 terjual"
"https://shopee.co.id/EIGER-JR-SHORESIDE-15L-BACKPACK-KIDS-i.19260065.24783699443?extraParams=%7B%22display_model_id%22%3A241225000233%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wj-mlxb5crnttzjd8","EIGER JR SHORESIDE 15L BACKPACK KIDS","384.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","2RB+ terjual"
"https://shopee.co.id/EIGER-JUNIOR-TAKIAN-SHIRT-LS-i.19260065.27034254165?extraParams=%7B%22display_model_id%22%3A234139273145%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk7-m8ubhyg1yrk274","EIGER JUNIOR TAKIAN SHIRT LS","244.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","36 terjual"
