"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","h-4","pointer-events-none src","inline-block","truncate 2"
"https://shopee.co.id/EIGER-WS-SEQUOIA-2.0-NG-TRAVEL-POUCH-i.19260065.15908643098?extraParams=%7B%22display_model_id%22%3A240754604173%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98s-luu24lezhupo34","EIGER WS SEQUOIA 2.0 NG TRAVEL POUCH","184.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","6RB+ terjual"
"https://shopee.co.id/EIGER-WS-SELFOSS-1.0-BOTTLE-i.19260065.26757128749?extraParams=%7B%22display_model_id%22%3A246326778897%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98u-lylr9ys7fv3c62","EIGER WS SELFOSS 1.0 BOTTLE","174.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-WS-SILVA-RAINY-CAP-WOMEN-i.19260065.28905721007?extraParams=%7B%22display_model_id%22%3A215305009802%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r991-lyubg368p7hcce","EIGER WS SILVA RAINY CAP WOMEN","174.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-ANETO-CAP-WS-i.19260065.15499227461?extraParams=%7B%22display_model_id%22%3A148309398520%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-82250-mgohh47zjpqj5c","EIGER ANETO CAP WS","184.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-WS-VOLVERE-BEANIE-i.19260065.24662323126?extraParams=%7B%22display_model_id%22%3A255310783875%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r991-lrceg4oyguva33","EIGER WS VOLVERE BEANIE","89.000","","","5.0","330 terjual"
"https://shopee.co.id/EIGER-WS-BEANICITY-1.0-i.19260065.26704418552?extraParams=%7B%22display_model_id%22%3A108397029251%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r991-lx9hhuo4qom61c","EIGER WS BEANICITY 1.0","89.000","","","4.9","208 terjual"
"https://shopee.co.id/EIGER-WOMEN-VIRERE-BASEBALL-CAP-i.19260065.43552374750?extraParams=%7B%22display_model_id%22%3A49564398651%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbke-maar91rhhw0kb3","EIGER WOMEN VIRERE BASEBALL CAP","149.000","","","5.0","358 terjual"
"https://shopee.co.id/EIGER-WOMEN-ALPAMAYO-BEANIE-i.19260065.43457851463?extraParams=%7B%22display_model_id%22%3A290665074195%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mbyo5evyc57bbe","EIGER WOMEN ALPAMAYO BEANIE","79.200","-20%","","4.9","65 terjual"
"https://shopee.co.id/EIGER-TOUCAN-2.0-WALLET-i.19260065.17740370740?extraParams=%7B%22display_model_id%22%3A125055564242%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/fe2e8fdc69f4d845dad7bb06f666b41c","EIGER TOUCAN 2.0 WALLET","129.000","","","4.9","3RB+ terjual"
"https://shopee.co.id/EIGER-CASPIAN-LAKE-CAP-WS-i.19260065.23259300370?extraParams=%7B%22display_model_id%22%3A222188313617%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98x-lncbqxr3imka09","EIGER CASPIAN LAKE CAP WS","119.200","-20%","","4.9","638 terjual"
